time,open,high,low,close,tick_volume
2017-01-03 00:00:00+00:00,1150.029,1163.937,1145.948,1157.095,69241
2017-01-04 00:00:00+00:00,1157.058,1167.71,1156.119,1165.657,73390
2017-01-05 00:00:00+00:00,1165.695,1184.776,1165.695,1180.779,82687
2017-01-06 00:00:00+00:00,1180.749,1182.473,1170.825,1172.189,71963
2017-01-08 00:00:00+00:00,1172.949,1173.873,1171.646,1173.652,1755
2017-01-09 00:00:00+00:00,1173.679,1185.936,1172.596,1182.416,62516
2017-01-10 00:00:00+00:00,1182.389,1190.359,1180.067,1185.966,73092
2017-01-11 00:00:00+00:00,1185.97,1198.015,1177.13,1193.33,76120
2017-01-12 00:00:00+00:00,1193.345,1206.807,1192.697,1196.205,76066
2017-01-13 00:00:00+00:00,1196.121,1200.559,1187.77,1196.785,69923
2017-01-15 00:00:00+00:00,1196.709,1204.604,1196.709,1203.285,1951
2017-01-16 00:00:00+00:00,1203.289,1208.368,1200.129,1202.982,50723
2017-01-17 00:00:00+00:00,1202.999,1218.65,1202.999,1215.053,67328
2017-01-18 00:00:00+00:00,1215.028,1217.343,1201.748,1202.89,75109
2017-01-19 00:00:00+00:00,1202.902,1206.317,1195.713,1203.451,81986
2017-01-20 00:00:00+00:00,1203.455,1214.666,1198.49,1209.318,77119
2017-01-22 00:00:00+00:00,1209.389,1215.477,1209.239,1215.345,2567
2017-01-23 00:00:00+00:00,1215.342,1219.775,1209.121,1217.264,78257
2017-01-24 00:00:00+00:00,1217.277,1218.425,1206.493,1209.013,67478
2017-01-25 00:00:00+00:00,1209.059,1209.588,1193.159,1200.753,72159
2017-01-26 00:00:00+00:00,1200.771,1202.416,1184.33,1188.183,71168
2017-01-27 00:00:00+00:00,1188.184,1191.372,1180.36,1190.228,66632
2017-01-29 00:00:00+00:00,1190.079,1194.402,1190.079,1194.028,2313
2017-01-30 00:00:00+00:00,1194.016,1199.173,1188.12,1196.477,67880
2017-01-31 00:00:00+00:00,1196.524,1215.142,1195.993,1211.525,78606
2017-02-01 00:00:00+00:00,1211.475,1212.157,1198.08,1209.758,79440
2017-02-02 00:00:00+00:00,1209.673,1225.079,1209.601,1214.5,81190
2017-02-03 00:00:00+00:00,1214.545,1221.133,1206.642,1219.586,73432
2017-02-05 00:00:00+00:00,1218.23,1222.961,1218.23,1220.752,2442
2017-02-06 00:00:00+00:00,1220.754,1235.385,1220.005,1233.224,76600
2017-02-07 00:00:00+00:00,1233.212,1235.535,1227.635,1231.843,79777
2017-02-08 00:00:00+00:00,1231.852,1244.544,1229.981,1239.765,82023
2017-02-09 00:00:00+00:00,1239.744,1244.341,1225.044,1226.333,82065
2017-02-10 00:00:00+00:00,1226.309,1236.847,1221.548,1233.013,80284
2017-02-12 00:00:00+00:00,1232.629,1232.719,1228.626,1230.119,1873
2017-02-13 00:00:00+00:00,1230.138,1232.175,1219.231,1226.096,73119
2017-02-14 00:00:00+00:00,1226.099,1234.383,1221.874,1228.342,81074
2017-02-15 00:00:00+00:00,1228.349,1233.894,1216.646,1232.928,78345
2017-02-16 00:00:00+00:00,1232.932,1242.243,1232.099,1238.452,85505
2017-02-17 00:00:00+00:00,1238.444,1243.695,1233.67,1233.95,71580
2017-02-19 00:00:00+00:00,1234.49,1238.059,1234.097,1236.173,1685
2017-02-20 00:00:00+00:00,1236.173,1238.908,1232.362,1236.993,46120
2017-02-21 00:00:00+00:00,1236.997,1238.793,1226.008,1234.8,77684
2017-02-22 00:00:00+00:00,1234.828,1240.324,1230.626,1236.805,92182
2017-02-23 00:00:00+00:00,1236.783,1251.066,1235.727,1249.263,85988
2017-02-24 00:00:00+00:00,1249.264,1260.086,1247.915,1256.607,86393
2017-02-26 00:00:00+00:00,1257.67,1257.7,1254.929,1255.817,1595
2017-02-27 00:00:00+00:00,1255.821,1263.771,1250.907,1252.053,148784
2017-02-28 00:00:00+00:00,1252.227,1258.284,1247.56,1247.56,91964
2017-03-01 00:00:00+00:00,1247.65,1250.561,1236.866,1248.821,106842
2017-03-02 00:00:00+00:00,1249.014,1249.751,1230.804,1233.19,92879
2017-03-03 00:00:00+00:00,1233.663,1236.081,1222.909,1234.245,93839
2017-03-05 00:00:00+00:00,1233.045,1233.045,1232.464,1232.923,136
2017-03-06 00:00:00+00:00,1232.938,1236.735,1224.324,1224.454,75009
2017-03-07 00:00:00+00:00,1224.873,1227.1,1214.094,1215.137,79306
2017-03-08 00:00:00+00:00,1215.239,1218.492,1206.675,1207.546,85416
2017-03-09 00:00:00+00:00,1207.711,1208.943,1199.011,1200.599,86837
2017-03-10 00:00:00+00:00,1200.602,1206.263,1194.976,1204.032,86063
2017-03-12 00:00:00+00:00,1204.385,1206.934,1204.385,1205.916,939
2017-03-13 00:00:00+00:00,1205.899,1211.109,1201.387,1201.95,77266
2017-03-14 00:00:00+00:00,1201.951,1207.52,1197.332,1198.895,78598
2017-03-15 00:00:00+00:00,1198.86,1221.866,1197.39,1219.157,88136
2017-03-16 00:00:00+00:00,1219.159,1233.506,1218.601,1226.298,88495
2017-03-17 00:00:00+00:00,1226.301,1231.597,1224.482,1228.7,70753
2017-03-19 00:00:00+00:00,1229.045,1230.893,1228.974,1230.461,778
2017-03-20 00:00:00+00:00,1230.472,1235.425,1229.379,1234.36,67067
2017-03-21 00:00:00+00:00,1234.385,1247.479,1226.864,1245.661,84348
2017-03-22 00:00:00+00:00,1245.665,1251.204,1243.985,1247.116,85222
2017-03-23 00:00:00+00:00,1247.109,1253.118,1242.771,1244.663,83093
2017-03-24 00:00:00+00:00,1244.662,1251.782,1240.948,1242.324,77057
2017-03-26 00:00:00+00:00,1245.45,1254.158,1245.45,1252.394,2265
2017-03-27 00:00:00+00:00,1252.414,1260.968,1251.506,1253.953,77900
2017-03-28 00:00:00+00:00,1253.963,1258.304,1247.623,1250.859,74420
2017-03-29 00:00:00+00:00,1250.863,1254.601,1247.267,1253.022,74862
2017-03-30 00:00:00+00:00,1253.028,1253.679,1241.933,1243.478,72247
2017-03-31 00:00:00+00:00,1243.479,1250.54,1239.627,1248.434,75087
2017-04-02 00:00:00+00:00,1249.381,1249.776,1247.451,1249.206,1126
2017-04-03 00:00:00+00:00,1249.215,1255.742,1244.458,1254.437,68622
2017-04-04 00:00:00+00:00,1254.436,1261.138,1253.985,1255.534,73567
2017-04-05 00:00:00+00:00,1255.535,1257.27,1243.716,1256.054,79030
